2016-04-20 08:32:14,705 | INFO | DefaultCamelContext.java 2418 | Apache Camel 2.15.1 (CamelContext: camel-1) is starting
2016-04-20 08:32:14,722 | INFO | ManagedManagementStrategy.java 187 | JMX is enabled
2016-04-20 08:32:16,005 | INFO | DefaultTypeConverter.java 56 | Loaded 182 type converters
2016-04-20 08:32:16,675 | INFO | DefaultCamelContext.java 2633 | AllowUseOriginalMessage is enabled. If access to the original message is not needed, then its recommended to turn this option off as it may improve performance.
2016-04-20 08:32:16,677 | INFO | DefaultCamelContext.java 2643 | StreamCaching is not in use. If using streams then its recommended to enable stream caching. See more details at http://camel.apache.org/stream-caching.html
2016-04-20 08:32:16,889 | INFO | DefaultCamelContext.java 3164 | Route: route1 started and consuming from: Endpoint[timer://generateOrders?fixedRate=true&period=10000]
2016-04-20 08:32:16,893 | INFO | DefaultCamelContext.java 3164 | Route: route2 started and consuming from: Endpoint[direct://processOrder]
2016-04-20 08:32:16,898 | INFO | DefaultCamelContext.java 3164 | Route: route3 started and consuming from: Endpoint[direct://processOrderItem]
2016-04-20 08:32:16,905 | INFO | DefaultCamelContext.java 2453 | Total 3 routes, of which 3 is started.
2016-04-20 08:32:16,916 | INFO | DefaultCamelContext.java 2454 | Apache Camel 2.15.1 (CamelContext: camel-1) started in 2.220 seconds
2016-04-20 08:32:18,146 | INFO | MarkerIgnoringBase.java 95 | Generate order items
2016-04-20 08:32:18,168 | INFO | MarkerIgnoringBase.java 95 | Process order Order: 1, Items: [Item[Coke, total price: 40, processed: false], Item[Banana, total price: 12, processed: false], Item[Tab, total price: 1250, processed: false]]
2016-04-20 08:32:18,261 | INFO | MarkerIgnoringBase.java 95 | Processing item Coke
2016-04-20 08:32:18,269 | INFO | MarkerIgnoringBase.java 95 | Processing done Item[Coke, total price: 40, processed: true]
2016-04-20 08:32:18,272 | INFO | MarkerIgnoringBase.java 95 | Processing item Banana
2016-04-20 08:32:18,274 | INFO | MarkerIgnoringBase.java 95 | Processing done Item[Banana, total price: 12, processed: true]
2016-04-20 08:32:18,279 | INFO | MarkerIgnoringBase.java 95 | Processing item Tab
2016-04-20 08:32:18,281 | INFO | MarkerIgnoringBase.java 95 | Processing done Item[Tab, total price: 1250, processed: true]
